,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_goal_low_right,att_sv_low_left,att_pen_goal,att_sv_high_centre,att_goal_low_centre,att_miss_high,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,att_sv_high_left,att_miss_high_left,att_goal_high_right,att_goal_high_left,att_post_right,att_goal_high_centre,penalty_save,att_post_high
30,1190551,0,1.0,31,Everton,6.24428571428571,31/03/2018,2.0,1.0,4,13,12,18.0,133,202,14,4.0,2.0,0.0,2.0,12,2.0,6.0,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1190551,3,3.0,167,Manchester City,6.94785714285714,31/03/2018,11.0,1.0,9,8,12,82.0,905,976,14,8.0,3.0,6.0,4.0,12,0.0,18.0,8,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,1190237,3,5.0,167,Manchester City,7.62214285714286,23/09/2017,8.0,2.0,14,6,10,71.9,656,724,21,7.0,0.0,9.0,9.0,10,0.0,25.0,6,3.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,1190237,0,0.0,162,Crystal Palace,6.05153846153846,23/09/2017,2.0,0.0,14,16,10,28.1,205,281,21,2.0,1.0,3.0,0.0,10,1.0,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1190196,1,1.0,26,Liverpool,6.93769230769231,16/09/2017,12.0,3.0,14,6,15,71.3,581,676,29,14.0,1.0,12.0,9.0,8,3.0,35.0,7,3.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
35,1190196,1,1.0,184,Burnley,6.64785714285714,16/09/2017,2.0,0.0,3,11,8,28.7,183,277,10,1.0,5.0,0.0,4.0,15,0.0,5.0,9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1190182,1,3.0,27,Watford,6.69142857142857,12/08/2017,3.0,0.0,11,19,25,45.6,277,395,26,4.0,3.0,1.0,4.0,22,1.0,9.0,14,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,1190182,1,3.0,26,Liverpool,6.78,12/08/2017,3.0,1.0,6,20,22,54.4,352,477,27,8.0,1.0,1.0,5.0,25,1.0,14.0,8,4.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38,1190394,3,2.0,14,Leicester,7.22076923076923,20/01/2018,4.0,3.0,19,15,22,53.4,331,422,24,3.0,5.0,1.0,5.0,14,1.0,9.0,11,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1190394,0,0.0,27,Watford,6.45428571428571,20/01/2018,5.0,1.0,9,27,14,46.6,254,356,19,4.0,3.0,4.0,3.0,22,1.0,11.0,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1190380,3,2.0,183,Bournemouth,6.87714285714286,30/12/2017,4.0,2.0,12,8,22,47.2,290,416,25,7.0,0.0,4.0,7.0,26,2.0,18.0,8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,1190380,0,1.0,31,Everton,6.45071428571428,30/12/2017,4.0,0.0,3,14,26,52.8,348,471,21,3.0,5.0,2.0,1.0,22,0.0,6.0,13,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1190357,1,0.0,18,Southampton,6.87428571428571,03/03/2018,15.0,1.0,17,18,27,65.2,329,422,32,5.0,2.0,7.0,6.0,15,1.0,18.0,8,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
